101,The Incredibles,2004
102,The Ten Commandments,1956
103,Guardians of the Galaxy,2014
104,The Lion King,1994
105,Batman,1989
106,Anchorman: The Legend of Ron Burgundy,2004
107,The Secret Life of Pets,2016
108,Say Anything,1989
109,Better Off Dead...,1985
110,Freedom Writers,2007
111,Stand and Deliver,1988
112,Three O'Clock High,1987
113,The Bad News Bears,1976
114,Hotel Transylvania,2012
115,The Lake House,2006
116,Chicken Run,2000
117,White Chicks,2004
118,Radio,2003
119,Tommy Boy,1995
120,Nerve (I),2016
121,Willy Wonka & the Chocolate Factory,1971
122,Pretty Woman,1990
123,The Woman in Black,2012
124,Moneyball,2011
125,Unforgettable,1996
